=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=382, mse_train=78533658.998660, mse_validation=26507547.922747
epoch=383, mse_train=64258527.316228, mse_validation=24334812.995943
epoch=384, mse_train=56316856.972593, mse_validation=22526232.487749
epoch=385, mse_train=52064468.919642, mse_validation=24608135.661070
epoch=386, mse_train=56086658.243812, mse_validation=24477236.423316
epoch=387, mse_train=56976122.675465, mse_validation=29347551.812878
epoch=388, mse_train=71209071.462724, mse_validation=25477123.004201
epoch=389, mse_train=58159606.875451, mse_validation=30589181.988963
epoch=390, mse_train=77087046.698818, mse_validation=27855936.417924
epoch=391, mse_train=62717061.417059, mse_validation=36822382.648167
epoch=392, mse_train=84608883.958192, mse_validation=27580237.618798
epoch=393, mse_train=64995782.081593, mse_validation=35572356.837279
epoch=394, mse_train=77661204.998570, mse_validation=25350006.435221
epoch=395, mse_train=58336943.227804, mse_validation=24235631.145879
epoch=396, mse_train=57091309.699874, mse_validation=22910760.180010
epoch=397, mse_train=55690053.522432, mse_validation=29255538.593543
epoch=398, mse_train=66250101.879018, mse_validation=18691629.267768
epoch=399, mse_train=44781883.455518, mse_validation=19051792.136356
epoch=400, mse_train=44595308.541784, mse_validation=18069088.841096
epoch=401, mse_train=42660505.532255, mse_validation=18494305.687400
epoch=402, mse_train=44424387.284706, mse_validation=22562536.539452
epoch=403, mse_train=53243973.570388, mse_validation=20275876.360328
epoch=404, mse_train=48131623.452261, mse_validation=17608393.263752
epoch=405, mse_train=41202690.315223, mse_validation=17577404.356772
epoch=406, mse_train=40797556.423946, mse_validation=17925693.175967
epoch=407, mse_train=42462507.973651, mse_validation=18282106.920069
epoch=408, mse_train=42235931.684176, mse_validation=17198372.384880
epoch=409, mse_train=40110230.801184, mse_validation=17348755.716624
epoch=410, mse_train=40828511.727305, mse_validation=18297296.375439
epoch=411, mse_train=42213062.403459, mse_validation=19776267.501594
epoch=412, mse_train=46178246.070548, mse_validation=18277668.182565
epoch=413, mse_train=43438688.461855, mse_validation=16266225.301745
epoch=414, mse_train=39049634.729926, mse_validation=17014900.680670
epoch=415, mse_train=41851707.638207, mse_validation=17932570.686566
epoch=416, mse_train=45210110.676251, mse_validation=22391110.867680
epoch=417, mse_train=57841587.404299, mse_validation=24171875.100533
epoch=418, mse_train=58803637.476497, mse_validation=25128963.899332
epoch=419, mse_train=64649896.230761, mse_validation=25564125.987566
epoch=420, mse_train=62591779.234752, mse_validation=36387301.864540
epoch=421, mse_train=93149903.549133, mse_validation=32296719.799990
epoch=422, mse_train=73035897.824534, mse_validation=21824887.115022
epoch=423, mse_train=51911243.530268, mse_validation=25117020.407360
epoch=424, mse_train=56951861.248581, mse_validation=26288088.236334
epoch=425, mse_train=57395121.279128, mse_validation=20508478.448080
epoch=426, mse_train=48828310.379980, mse_validation=24407442.936193
epoch=427, mse_train=49151139.786571, mse_validation=16998377.398743
epoch=428, mse_train=41711536.179066, mse_validation=18736765.304360
epoch=429, mse_train=46180196.824232, mse_validation=21052166.517066
epoch=430, mse_train=50769069.267986, mse_validation=19235604.323677
epoch=431, mse_train=50839534.214193, mse_validation=21702452.193791
epoch=432, mse_train=49653893.267818, mse_validation=26010448.122479
epoch=433, mse_train=57448991.120168, mse_validation=22236493.592749
epoch=434, mse_train=51627291.984265, mse_validation=15219041.365544
epoch=435, mse_train=34775285.379809, mse_validation=16127203.322765
epoch=436, mse_train=37375044.023044, mse_validation=21585324.213505
epoch=437, mse_train=48445636.162201, mse_validation=23877225.004402
epoch=438, mse_train=57208220.104665, mse_validation=22825113.721140
epoch=439, mse_train=54693937.481069, mse_validation=34186426.732443
epoch=440, mse_train=83690808.015807, mse_validation=40734777.771104
epoch=441, mse_train=100983661.621417, mse_validation=43252499.117778
epoch=442, mse_train=98519904.729013, mse_validation=39697464.779835
epoch=443, mse_train=112450884.324114, mse_validation=28963952.324592
