Computed a variance of 0.210820
=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=185, mse_train=852525143.313586, mse_validation=345972899.445622
epoch=186, mse_train=852106250.229030, mse_validation=345781226.248235
epoch=187, mse_train=851689245.188419, mse_validation=345590413.177688
epoch=188, mse_train=851274118.916194, mse_validation=345400456.023334
epoch=189, mse_train=850860862.185972, mse_validation=345211350.596787
epoch=190, mse_train=850449465.820232, mse_validation=345023092.731802
epoch=191, mse_train=850039920.690043, mse_validation=344835678.284145
epoch=192, mse_train=849632217.714798, mse_validation=344649103.131468
epoch=193, mse_train=849226347.861901, mse_validation=344463363.173177
epoch=194, mse_train=848822302.146517, mse_validation=344278454.330314
epoch=195, mse_train=848420071.631290, mse_validation=344094372.545426
epoch=196, mse_train=848019647.426056, mse_validation=343911113.782443
epoch=197, mse_train=847621020.687583, mse_validation=343728674.026555
epoch=198, mse_train=847224182.619300, mse_validation=343547049.284091
epoch=199, mse_train=846829124.471018, mse_validation=343366235.582393
epoch=200, mse_train=846435837.538679, mse_validation=343186228.969704
epoch=201, mse_train=846044313.164064, mse_validation=343007025.515036
epoch=202, mse_train=845654542.734560, mse_validation=342828621.308060
epoch=203, mse_train=845266517.682877, mse_validation=342651012.458983
epoch=204, mse_train=844880229.486794, mse_validation=342474195.098434
epoch=205, mse_train=844495669.668908, mse_validation=342298165.377341
epoch=206, mse_train=844112829.796349, mse_validation=342122919.466821
epoch=207, mse_train=843731701.480565, mse_validation=341948453.558061
epoch=208, mse_train=843352276.377029, mse_validation=341774763.862203
epoch=209, mse_train=842974546.185021, mse_validation=341601846.610234
epoch=210, mse_train=842598502.647356, mse_validation=341429698.052866
epoch=211, mse_train=842224137.550128, mse_validation=341258314.460430
epoch=212, mse_train=841851442.722486, mse_validation=341087692.122756
epoch=213, mse_train=841480410.036381, mse_validation=340917827.349076
epoch=214, mse_train=841111031.406306, mse_validation=340748716.467894
epoch=215, mse_train=840743298.789071, mse_validation=340580355.826895
epoch=216, mse_train=840377204.183547, mse_validation=340412741.792821
epoch=217, mse_train=840012739.630442, mse_validation=340245870.751376
epoch=218, mse_train=839649897.212061, mse_validation=340079739.107105
epoch=219, mse_train=839288669.052047, mse_validation=339914343.283295
epoch=220, mse_train=838929047.315173, mse_validation=339749679.721872
epoch=221, mse_train=838571024.207100, mse_validation=339585744.883282
epoch=222, mse_train=838214591.974132, mse_validation=339422535.246402
epoch=223, mse_train=837859742.903004, mse_validation=339260047.308422
epoch=224, mse_train=837506469.320640, mse_validation=339098277.584752
epoch=225, mse_train=837154763.593932, mse_validation=338937222.608909
epoch=226, mse_train=836804618.129512, mse_validation=338776878.932425
epoch=227, mse_train=836456025.373518, mse_validation=338617243.124736
